Date,Sediment - Fine_136106A_kilograms
2011-07-11,1442.85607444413
2011-07-12,1337.30275520742
2011-07-13,1247.459235266
2011-07-14,1168.29451415044
2011-07-15,1115.21887399195
2011-07-16,1757.18732876706
2011-07-17,2168.70134429697
2011-07-18,2594.78927382161
2011-07-19,2992.79413211394
2011-07-20,3281.94713928182
2011-07-21,3402.63161145973
2011-07-22,3348.9156720431
2011-07-23,3160.80644121276
2011-07-24,2890.91029805247
2011-07-25,2585.8044161345
2011-07-26,2278.39544580536
2011-07-27,1988.33378808472
2011-07-28,1725.0567323879
2011-07-29,1491.78819877792
2011-07-30,1288.06274410461
2011-07-31,1111.72788430185
2011-08-01,957.851386750573
2011-08-02,826.054816210989
2011-08-03,713.023682288818
2011-08-04,615.99174496183
2011-08-05,532.815259601776
2011-08-06,461.70559858844
2011-08-07,403.337413161156
2011-08-08,354.386429703325
2011-08-09,312.782918814579
2011-08-10,277.343142621322
2011-08-11,247.380831567378
2011-08-12,221.797051638378
2011-08-13,199.864244164255
2011-08-14,181.127418977489
2011-08-15,164.883061404684
2011-08-16,150.708684348711
2011-08-17,138.288793312506
2011-08-18,139.028723360889
2011-08-19,135.001076325026
2011-08-20,129.34541556287
2011-08-21,123.788311202029
2011-08-22,118.709824135983
2011-08-23,114.026011496562
2011-08-24,119.212371745542
2011-08-25,117.206891604641
2011-08-26,114.243579726461
2011-08-27,129.739581116199
2011-08-28,880.027549494748
2011-08-29,1018.25604046072
2011-08-30,1123.89003398528
2011-08-31,1190.17201570437
2011-09-01,1211.24276331164
2011-09-02,1200.11285899231
2011-09-03,1163.78802101321
2011-09-04,1109.92985968821
2011-09-05,1044.75500711013
2011-09-06,973.366498038543
2011-09-07,934.094444706811
2011-09-08,873.280253178761
2011-09-09,811.715642823091
2011-09-10,774.461752462694
2011-09-11,727.661743206113
2011-09-12,680.995511167927
2011-09-13,634.811543372091
2011-09-14,588.339485310483
2011-09-15,542.507694402113
2011-09-16,498.513556944325
2011-09-17,456.541518539344
2011-09-18,416.827115514183
2011-09-19,379.467607671568
2011-09-20,344.359063828523
2011-09-21,311.58114539871
2011-09-22,281.306309116089
2011-09-23,253.1241357685
2011-09-24,227.175668349693
2011-09-25,203.317303412618
2011-09-26,181.723933802135
2011-09-27,162.205007597736
2011-09-28,144.899287731948
2011-09-29,129.752670653093
2011-09-30,117.448990442853
2011-10-01,102.25800605403
2011-10-02,90.2284350202583
2011-10-03,83.1150382772005
2011-10-04,74.1331929716331
2011-10-05,69.8064479679602
2011-10-06,67.0668263314825
2011-10-07,68.3770309256217
2011-10-08,69.5872975906833
2011-10-09,110.333737269403
2011-10-10,125.639605181748
2011-10-11,141.715100874155
2011-10-12,153.646029589173
2011-10-13,161.91727695682
2011-10-14,237.306839412476
2011-10-15,382.858204624753
2011-10-16,532.456217730165
2011-10-17,675.360483124441
2011-10-18,850.540956306994
2011-10-19,930.172471738301
2011-10-20,983.740511036977
2011-10-21,1010.15188247935
2011-10-22,1013.30694745555
2011-10-23,994.216936453224
2011-10-24,947.938706432705
2011-10-25,907.126616968771
2011-10-26,853.894611778915
2011-10-27,1010.63510657658
2011-10-28,1059.90354310005
